timestamp,series,trial_id,model,alpha,beta,return,sharpe,params_json
2025-07-24T11:46:02.985419,NEW_SERIES_FIXED_sac_20runs_250724_114602,,,,,,,
2025-07-24T11:48:28.278542,NEW_SERIES_FIXED_sac_20runs_250724_114828,,,,,,,
2025-07-24T12:00:43,FIXED_sac_20runs_250724_114828,trial_000,sac,0.752,0.036,0.2985,0.7849,"{""erl"": {""learning_rate"": 4.21016461159303e-05, ""batch_size"": 4096, ""gamma"": 0.9989652812396075, ""seed"": 312, ""net_dimension"": 1024, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 4096, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 16384, ""if_use_per"": false, ""eval_gap"": 256, ""eval_times"": 16}, ""alpha"": 0.7523392858019977, ""beta"": 0.03639080558854646}"
2025-07-24T12:13:07,FIXED_sac_20runs_250724_114828,trial_001,sac,0.752,0.036,0.2900,0.7715,"{""erl"": {""learning_rate"": 4.21016461159303e-05, ""batch_size"": 4096, ""gamma"": 0.9989652812396075, ""seed"": 313, ""net_dimension"": 1024, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 4096, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 16384, ""if_use_per"": false, ""eval_gap"": 256, ""eval_times"": 16}, ""alpha"": 0.7523392858019977, ""beta"": 0.03639080558854646}"
2025-07-24T12:25:10,FIXED_sac_20runs_250724_114828,trial_002,sac,0.752,0.036,0.0998,0.3990,"{""erl"": {""learning_rate"": 4.21016461159303e-05, ""batch_size"": 4096, ""gamma"": 0.9989652812396075, ""seed"": 314, ""net_dimension"": 1024, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 4096, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 16384, ""if_use_per"": false, ""eval_gap"": 256, ""eval_times"": 16}, ""alpha"": 0.7523392858019977, ""beta"": 0.03639080558854646}"
2025-07-24T12:37:27,FIXED_sac_20runs_250724_114828,trial_003,sac,0.752,0.036,0.2361,0.7319,"{""erl"": {""learning_rate"": 4.21016461159303e-05, ""batch_size"": 4096, ""gamma"": 0.9989652812396075, ""seed"": 315, ""net_dimension"": 1024, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 4096, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 16384, ""if_use_per"": false, ""eval_gap"": 256, ""eval_times"": 16}, ""alpha"": 0.7523392858019977, ""beta"": 0.03639080558854646}"
2025-07-24T12:49:50,FIXED_sac_20runs_250724_114828,trial_004,sac,0.752,0.036,0.3704,0.8780,"{""erl"": {""learning_rate"": 4.21016461159303e-05, ""batch_size"": 4096, ""gamma"": 0.9989652812396075, ""seed"": 316, ""net_dimension"": 1024, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 4096, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 16384, ""if_use_per"": false, ""eval_gap"": 256, ""eval_times"": 16}, ""alpha"": 0.7523392858019977, ""beta"": 0.03639080558854646}"
2025-07-24T13:01:52,FIXED_sac_20runs_250724_114828,trial_005,sac,0.752,0.036,0.2772,0.8723,"{""erl"": {""learning_rate"": 4.21016461159303e-05, ""batch_size"": 4096, ""gamma"": 0.9989652812396075, ""seed"": 317, ""net_dimension"": 1024, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 4096, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 16384, ""if_use_per"": false, ""eval_gap"": 256, ""eval_times"": 16}, ""alpha"": 0.7523392858019977, ""beta"": 0.03639080558854646}"
2025-07-24T13:14:20,FIXED_sac_20runs_250724_114828,trial_006,sac,0.752,0.036,0.2770,0.6928,"{""erl"": {""learning_rate"": 4.21016461159303e-05, ""batch_size"": 4096, ""gamma"": 0.9989652812396075, ""seed"": 318, ""net_dimension"": 1024, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 4096, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 16384, ""if_use_per"": false, ""eval_gap"": 256, ""eval_times"": 16}, ""alpha"": 0.7523392858019977, ""beta"": 0.03639080558854646}"
2025-07-24T13:26:25,FIXED_sac_20runs_250724_114828,trial_007,sac,0.752,0.036,0.2980,0.7798,"{""erl"": {""learning_rate"": 4.21016461159303e-05, ""batch_size"": 4096, ""gamma"": 0.9989652812396075, ""seed"": 319, ""net_dimension"": 1024, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 4096, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 16384, ""if_use_per"": false, ""eval_gap"": 256, ""eval_times"": 16}, ""alpha"": 0.7523392858019977, ""beta"": 0.03639080558854646}"
2025-07-24T13:38:32,FIXED_sac_20runs_250724_114828,trial_008,sac,0.752,0.036,0.4147,1.0053,"{""erl"": {""learning_rate"": 4.21016461159303e-05, ""batch_size"": 4096, ""gamma"": 0.9989652812396075, ""seed"": 320, ""net_dimension"": 1024, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 4096, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 16384, ""if_use_per"": false, ""eval_gap"": 256, ""eval_times"": 16}, ""alpha"": 0.7523392858019977, ""beta"": 0.03639080558854646}"
2025-07-24T13:50:47,FIXED_sac_20runs_250724_114828,trial_009,sac,0.752,0.036,0.2743,0.7612,"{""erl"": {""learning_rate"": 4.21016461159303e-05, ""batch_size"": 4096, ""gamma"": 0.9989652812396075, ""seed"": 321, ""net_dimension"": 1024, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 4096, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 16384, ""if_use_per"": false, ""eval_gap"": 256, ""eval_times"": 16}, ""alpha"": 0.7523392858019977, ""beta"": 0.03639080558854646}"
