timestamp,series,trial_id,mode,model,return,sharpe,params_json
2025-07-29T08:54:56,SINGLE_sac_20trials_250729_082359,trial_001,single,sac,-0.0833,-0.3974,"{""erl"": {""learning_rate"": 0.00047031650589812935, ""batch_size"": 4096, ""gamma"": 0.9942814741275038, ""net_dimension"": 1024, ""net_dims"": [1024, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 3.0, ""buffer_size"": 1000000, ""buffer_init_size"": 8192, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-29T09:10:32,SINGLE_sac_20trials_250729_082359,trial_002,single,sac,0.0170,0.0828,"{""erl"": {""learning_rate"": 0.00011231914728968768, ""batch_size"": 1024, ""gamma"": 0.9782044059877819, ""net_dimension"": 512, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-29T09:26:17,SINGLE_sac_20trials_250729_082359,trial_003,single,sac,-0.0477,-0.2524,"{""erl"": {""learning_rate"": 0.0004728636806783985, ""batch_size"": 512, ""gamma"": 0.9626166712530619, ""net_dimension"": 512, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-29T09:42:15,SINGLE_sac_20trials_250729_082359,trial_004,single,sac,-0.0520,-0.2671,"{""erl"": {""learning_rate"": 1.7683552222297278e-05, ""batch_size"": 2048, ""gamma"": 0.9792508282946277, ""net_dimension"": 512, ""net_dims"": [512, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 3.0, ""buffer_size"": 1000000, ""buffer_init_size"": 4096, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-29T09:58:01,SINGLE_sac_20trials_250729_082359,trial_005,single,sac,-0.0142,-0.0706,"{""erl"": {""learning_rate"": 0.0008643667513948885, ""batch_size"": 2048, ""gamma"": 0.9948891473118375, ""net_dimension"": 512, ""net_dims"": [512, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 4096, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-29T10:13:29,SINGLE_sac_20trials_250729_082359,trial_006,single,sac,0.0401,0.2243,"{""erl"": {""learning_rate"": 8.459352989513962e-05, ""batch_size"": 512, ""gamma"": 0.9892130048067193, ""net_dimension"": 512, ""net_dims"": [1024, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-29T10:29:21,SINGLE_sac_20trials_250729_082359,trial_007,single,sac,-0.0726,-0.3343,"{""erl"": {""learning_rate"": 4.595238618565376e-05, ""batch_size"": 512, ""gamma"": 0.9785850033063185, ""net_dimension"": 256, ""net_dims"": [1024, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-29T10:45:24,SINGLE_sac_20trials_250729_082359,trial_008,single,sac,-0.0192,-0.0997,"{""erl"": {""learning_rate"": 8.053291418646766e-05, ""batch_size"": 512, ""gamma"": 0.9513759550123233, ""net_dimension"": 256, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 3.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-29T11:00:53,SINGLE_sac_20trials_250729_082359,trial_009,single,sac,-0.0325,-0.1588,"{""erl"": {""learning_rate"": 0.000541522186511925, ""batch_size"": 1024, ""gamma"": 0.9925782158043571, ""net_dimension"": 512, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 3.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-29T11:16:43,SINGLE_sac_20trials_250729_082359,trial_010,single,sac,-0.0454,-0.2334,"{""erl"": {""learning_rate"": 1.0833247279399588e-05, ""batch_size"": 4096, ""gamma"": 0.9872171615762962, ""net_dimension"": 1024, ""net_dims"": [1024, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 8192, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-29T11:32:27,SINGLE_sac_20trials_250729_082359,trial_011,single,sac,0.0271,0.1317,"{""erl"": {""learning_rate"": 0.00015959777153923602, ""batch_size"": 1024, ""gamma"": 0.98385165317525, ""net_dimension"": 512, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-29T11:48:12,SINGLE_sac_20trials_250729_082359,trial_012,single,sac,-0.0409,-0.2079,"{""erl"": {""learning_rate"": 0.00016557892805960358, ""batch_size"": 1024, ""gamma"": 0.985550966143161, ""net_dimension"": 512, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-29T12:03:44,SINGLE_sac_20trials_250729_082359,trial_013,single,sac,-0.0399,-0.1941,"{""erl"": {""learning_rate"": 0.0002231601579387071, ""batch_size"": 1024, ""gamma"": 0.9864896013185096, ""net_dimension"": 512, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-29T12:19:07,SINGLE_sac_20trials_250729_082359,trial_014,single,sac,-0.0870,-0.4323,"{""erl"": {""learning_rate"": 5.062222728459324e-05, ""batch_size"": 512, ""gamma"": 0.9988590991061566, ""net_dimension"": 1024, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-29T12:34:17,SINGLE_sac_20trials_250729_082359,trial_015,single,sac,-0.0366,-0.1858,"{""erl"": {""learning_rate"": 3.118710791634113e-05, ""batch_size"": 1024, ""gamma"": 0.9705824752693818, ""net_dimension"": 512, ""net_dims"": [1024, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-29T12:49:35,SINGLE_sac_20trials_250729_082359,trial_016,single,sac,-0.0332,-0.1641,"{""erl"": {""learning_rate"": 0.00016592456982268477, ""batch_size"": 4096, ""gamma"": 0.9833281873107862, ""net_dimension"": 512, ""net_dims"": [1024, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 8192, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-29T13:05:04,SINGLE_sac_20trials_250729_082359,trial_017,single,sac,-0.0082,-0.0424,"{""erl"": {""learning_rate"": 7.967157939290749e-05, ""batch_size"": 2048, ""gamma"": 0.9717959312519594, ""net_dimension"": 512, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 4096, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-29T13:20:40,SINGLE_sac_20trials_250729_082359,trial_018,single,sac,-0.0646,-0.3116,"{""erl"": {""learning_rate"": 0.00024121982220794125, ""batch_size"": 512, ""gamma"": 0.9637768085134142, ""net_dimension"": 1024, ""net_dims"": [512, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-29T13:36:33,SINGLE_sac_20trials_250729_082359,trial_019,single,sac,-0.0433,-0.2183,"{""erl"": {""learning_rate"": 3.3288156250218585e-05, ""batch_size"": 1024, ""gamma"": 0.9892734141715193, ""net_dimension"": 256, ""net_dims"": [1024, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-29T14:02:40.549531,NEW_SERIES_SINGLE_sac_20trials_250729_140240,,,,,,
2025-07-29T14:19:54.660890,NEW_SERIES_SINGLE_sac_20trials_250729_141954,,,,,,
2025-07-29T14:35:04,SINGLE_sac_20trials_250729_141954,trial_020,single,sac,-0.0503,-0.2392,"{""erl"": {""learning_rate"": 0.00013090794965865457, ""batch_size"": 1024, ""gamma"": 0.9823797748744612, ""net_dimension"": 512, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-29T14:50:26,SINGLE_sac_20trials_250729_141954,trial_021,single,sac,0.0153,0.0781,"{""erl"": {""learning_rate"": 0.00010836158887340374, ""batch_size"": 1024, ""gamma"": 0.9768726828115176, ""net_dimension"": 512, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-29T15:06:21,SINGLE_sac_20trials_250729_141954,trial_022,single,sac,-0.0413,-0.2282,"{""erl"": {""learning_rate"": 0.000276716299829879, ""batch_size"": 1024, ""gamma"": 0.9817666041410954, ""net_dimension"": 512, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-29T15:21:58,SINGLE_sac_20trials_250729_141954,trial_023,single,sac,-0.0391,-0.1886,"{""erl"": {""learning_rate"": 7.91281711760839e-05, ""batch_size"": 1024, ""gamma"": 0.9895962358788718, ""net_dimension"": 512, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-29T15:37:31,SINGLE_sac_20trials_250729_141954,trial_024,single,sac,-0.0068,-0.0346,"{""erl"": {""learning_rate"": 5.632341481468765e-05, ""batch_size"": 1024, ""gamma"": 0.99881179862306, ""net_dimension"": 512, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 2048, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-29T15:53:04,SINGLE_sac_20trials_250729_141954,trial_025,single,sac,-0.0508,-0.2609,"{""erl"": {""learning_rate"": 0.00014310748242038742, ""batch_size"": 512, ""gamma"": 0.9750967828868953, ""net_dimension"": 512, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 1024, ""eval_gap"": 64, ""eval_times"": 16}}"
2025-07-29T16:08:25,SINGLE_sac_20trials_250729_141954,trial_026,single,sac,0.0136,0.0683,"{""erl"": {""learning_rate"": 0.0003031492538524634, ""batch_size"": 4096, ""gamma"": 0.991111068971656, ""net_dimension"": 512, ""net_dims"": [1024, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 4.0, ""buffer_size"": 1000000, ""buffer_init_size"": 8192, ""eval_gap"": 64, ""eval_times"": 16}}"
