timestamp,series,trial_id,mode,model,alpha,beta,sharpe_w,return,sharpe,reward,params_json
2025-07-20T12:43:00,SINGLE_td3_50trials_250720_110943,trial_011,single,td3,0.923,0.062,0.98,0.0927,0.2370,0.3253,"{""erl"": {""learning_rate"": 0.00026272808190375976, ""batch_size"": 2048, ""gamma"": 0.9505860814758422, ""net_dimension"": 256, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.9233533554357645, ""beta"": 0.06209925686191148, ""sharpe_w"": 0.9812570761321343}"
2025-07-20T12:51:28,SINGLE_td3_50trials_250720_110943,trial_012,single,td3,0.858,0.125,0.90,0.1856,0.4572,0.5974,"{""erl"": {""learning_rate"": 9.444743439074848e-05, ""batch_size"": 2048, ""gamma"": 0.9700417212767012, ""net_dimension"": 1024, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.8576150469879864, ""beta"": 0.12489032779616938, ""sharpe_w"": 0.9006975186312438}"
2025-07-20T12:59:58,SINGLE_td3_50trials_250720_110943,trial_013,single,td3,1.176,0.334,0.78,0.2441,0.5924,0.7042,"{""erl"": {""learning_rate"": 2.9267360079687804e-05, ""batch_size"": 2048, ""gamma"": 0.9904090701860723, ""net_dimension"": 1024, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 1.175972631633793, ""beta"": 0.33373919805665087, ""sharpe_w"": 0.7766131033039216}"
2025-07-20T13:08:25,SINGLE_td3_50trials_250720_110943,trial_014,single,td3,0.936,0.006,0.71,0.2971,0.8846,0.9268,"{""erl"": {""learning_rate"": 8.508122166441178e-05, ""batch_size"": 8192, ""gamma"": 0.9706797945739429, ""net_dimension"": 1024, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.9357903930454947, ""beta"": 0.005808368614655557, ""sharpe_w"": 0.7118644806702207}"
2025-07-20T13:16:53,SINGLE_td3_50trials_250720_110943,trial_015,single,td3,0.965,0.001,0.76,0.1558,0.4811,0.5191,"{""erl"": {""learning_rate"": 8.479362038273615e-05, ""batch_size"": 2048, ""gamma"": 0.9878075673351155, ""net_dimension"": 512, ""net_dims"": [1024, 1024], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.9646636140637724, ""beta"": 0.0012644052815493634, ""sharpe_w"": 0.7551202041749735}"
2025-07-20T13:25:20,SINGLE_td3_50trials_250720_110943,trial_016,single,td3,1.045,0.156,0.81,0.2549,0.7309,0.8452,"{""erl"": {""learning_rate"": 0.00019934944160166827, ""batch_size"": 8192, ""gamma"": 0.9629948004641596, ""net_dimension"": 256, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 1.044573204684367, ""beta"": 0.15626438521729932, ""sharpe_w"": 0.8075878067857604}"
2025-07-20T13:33:47,SINGLE_td3_50trials_250720_110943,trial_017,single,td3,1.299,0.108,0.67,0.2648,0.8327,0.8246,"{""erl"": {""learning_rate"": 8.862284229359661e-05, ""batch_size"": 2048, ""gamma"": 0.9750610032753196, ""net_dimension"": 1024, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 1.2988892747985938, ""beta"": 0.10778457213005734, ""sharpe_w"": 0.6723520095449094}"
2025-07-20T13:42:17,SINGLE_td3_50trials_250720_110943,trial_018,single,td3,1.167,0.305,1.00,0.2036,0.6296,0.8328,"{""erl"": {""learning_rate"": 0.00011573965258941203, ""batch_size"": 8192, ""gamma"": 0.9971890011879428, ""net_dimension"": 256, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 1.1666198217481143, ""beta"": 0.3045510275736897, ""sharpe_w"": 0.9993582618358855}"
2025-07-20T13:50:46,SINGLE_td3_50trials_250720_110943,trial_019,single,td3,0.968,0.017,0.88,0.3426,0.8988,1.1293,"{""erl"": {""learning_rate"": 6.784875182834187e-05, ""batch_size"": 2048, ""gamma"": 0.9809519400814324, ""net_dimension"": 1024, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.9683725840479499, ""beta"": 0.016674715501397708, ""sharpe_w"": 0.8752764786924855}"
2025-07-20T13:59:14,SINGLE_td3_50trials_250720_110943,trial_020,single,td3,0.987,0.053,0.87,0.0842,0.2241,0.2790,"{""erl"": {""learning_rate"": 3.381118420620783e-05, ""batch_size"": 2048, ""gamma"": 0.9820285968811847, ""net_dimension"": 512, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.9868556268885613, ""beta"": 0.0531737640460786, ""sharpe_w"": 0.8693268663487294}"
