timestamp,series,trial_id,mode,model,alpha,beta,sharpe_w,return,sharpe,reward,params_json
2025-07-19T17:42:48,SINGLE_sac_50trials_250719_140900,trial_010,single,sac,0.710,0.407,0.79,0.5452,1.1482,1.4497,"{""erl"": {""learning_rate"": 1.6130867407839772e-05, ""batch_size"": 8192, ""gamma"": 0.9977334177983184, ""net_dimension"": 512, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.7099902153469977, ""beta"": 0.406997159649583, ""sharpe_w"": 0.7877605026131154}"
2025-07-19T17:54:52,SINGLE_sac_50trials_250719_140900,trial_011,single,sac,0.710,0.377,0.79,0.1876,0.4681,0.5561,"{""erl"": {""learning_rate"": 1.2981361972779102e-05, ""batch_size"": 8192, ""gamma"": 0.9971208044584804, ""net_dimension"": 512, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.7095425295739246, ""beta"": 0.37749943539682046, ""sharpe_w"": 0.787281219082794}"
2025-07-19T18:06:58,SINGLE_sac_50trials_250719_140900,trial_012,single,sac,0.864,0.368,0.99,-0.0445,-0.1290,-0.1727,"{""erl"": {""learning_rate"": 2.482918220010831e-05, ""batch_size"": 8192, ""gamma"": 0.9917433796221348, ""net_dimension"": 512, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.8639998822775383, ""beta"": 0.3683581020803259, ""sharpe_w"": 0.9936011504089042}"
2025-07-19T18:18:59,SINGLE_sac_50trials_250719_140900,trial_013,single,sac,0.702,0.107,0.80,0.1658,0.4552,0.5282,"{""erl"": {""learning_rate"": 8.868375684207664e-05, ""batch_size"": 8192, ""gamma"": 0.9943617738105082, ""net_dimension"": 512, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.702334585052275, ""beta"": 0.10692675887820036, ""sharpe_w"": 0.7962940567649451}"
2025-07-19T18:31:03,SINGLE_sac_50trials_250719_140900,trial_014,single,sac,0.997,0.001,0.68,-0.1033,-0.4186,-0.3874,"{""erl"": {""learning_rate"": 1.0426476803110676e-05, ""batch_size"": 8192, ""gamma"": 0.9679736556311727, ""net_dimension"": 512, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.997415442791163, ""beta"": 0.0007876006878732578, ""sharpe_w"": 0.6785664715232027}"
2025-07-19T18:43:07,SINGLE_sac_50trials_250719_140900,trial_015,single,sac,0.840,0.360,0.85,0.3379,0.7544,0.9829,"{""erl"": {""learning_rate"": 2.3276634321508658e-05, ""batch_size"": 8192, ""gamma"": 0.9810438355910073, ""net_dimension"": 512, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.8400058683855126, ""beta"": 0.36024055549640743, ""sharpe_w"": 0.854907372191319}"
2025-07-19T18:55:09,SINGLE_sac_50trials_250719_140900,trial_016,single,sac,0.961,0.429,0.49,0.2474,0.6701,0.5747,"{""erl"": {""learning_rate"": 3.2091795908425166e-05, ""batch_size"": 8192, ""gamma"": 0.9926774604921645, ""net_dimension"": 512, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.9612953544991921, ""beta"": 0.42908375714608354, ""sharpe_w"": 0.4884734424442201}"
2025-07-19T19:07:12,SINGLE_sac_50trials_250719_140900,trial_017,single,sac,0.798,0.304,0.89,0.2256,0.7322,0.8772,"{""erl"": {""learning_rate"": 7.157494696822525e-05, ""batch_size"": 8192, ""gamma"": 0.9692598525778177, ""net_dimension"": 512, ""net_dims"": [512, 512], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.7978161916664013, ""beta"": 0.3043231341635929, ""sharpe_w"": 0.8899055828525844}"
2025-07-19T19:19:13,SINGLE_sac_50trials_250719_140900,trial_018,single,sac,1.036,0.150,0.74,0.1974,0.5028,0.5683,"{""erl"": {""learning_rate"": 2.0091638635159412e-05, ""batch_size"": 2048, ""gamma"": 0.9880478430728492, ""net_dimension"": 512, ""net_dims"": [1024, 1024], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 1.0360731402995207, ""beta"": 0.1498050191350422, ""sharpe_w"": 0.7376710224449391}"
2025-07-19T19:31:17,SINGLE_sac_50trials_250719_140900,trial_019,single,sac,0.752,0.036,0.30,0.8617,1.6076,1.3488,"{""erl"": {""learning_rate"": 4.21016461159303e-05, ""batch_size"": 4096, ""gamma"": 0.9989652812396075, ""net_dimension"": 1024, ""net_dims"": [256, 256], ""target_step"": 8192, ""horizon_len"": 2048, ""repeat_times"": 2.0, ""buffer_size"": 2000000, ""buffer_init_size"": 32768, ""eval_gap"": 64, ""eval_times"": 16}, ""alpha"": 0.7523392858019977, ""beta"": 0.03639080558854646, ""sharpe_w"": 0.30302125255060713}"
